2023-05-31 13:32:02,190 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:32:02,349 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "qiy" missing in uniform extension configuration data {} 
2023-05-31 13:32:02,364 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "tvk" missing in uniform extension configuration data {} 
2023-05-31 13:34:16,316 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:34:16,486 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "qiy" missing in uniform extension configuration data {} 
2023-05-31 13:35:02,357 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:35:02,542 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "qiy" missing in uniform extension configuration data {} 
2023-05-31 13:35:10,627 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:35:16,674 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "qiy" missing in uniform extension configuration data {} 
2023-05-31 13:35:28,137 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:35:58,307 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "qiy" missing in uniform extension configuration data {} 
2023-05-31 13:36:42,459 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:36:56,094 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:38:08,001 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:38:08,187 [INFO ] | main | io.vertx.mod.feign.FeignDepotTc | [1;30m[ μηδέν ] [m[ TEST ] Endpoint: null, Config: {"client_id":null,"client_secret":null} 
2023-05-31 13:38:26,805 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:38:26,998 [INFO ] | main | io.vertx.mod.feign.FeignDepotTc | [1;30m[ μηδέν ] [m[ TEST ] Endpoint: null, Config: {"client_id":"client-id","client_secret":"client-secret"} 
2023-05-31 13:38:50,840 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-05-31 13:38:50,994 [INFO ] | main | io.vertx.mod.feign.FeignDepotTc | [1;30m[ μηδέν ] [m[ TEST ] Endpoint: null, Config: {"client_id":"client-id","client_secret":"client-secret"} 
2023-05-31 13:38:51,009 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "tvk" missing in uniform extension configuration data {} 
